player_id,web_name,start_rate
96,Damsgaard,0.632
210,Wharton,0.763
417,Dalot,0.763
439,Šeško,0.447
159,Caicedo,0.842
534,Hume,0.895
60,Hill,0.579
329,Rodon,0.868
8,Calafiori,0.579
336,Okafor,0.5
412,Lammens,0.842
328,Struijk,0.868
372,Mac Allister,0.816
463,Woltemade,0.632
453,Barnes,0.5
467,Sels,0.789
102,Yarmoliuk,0.789
248,Beto,0.447
261,Iwobi,0.763
45,McGinn,0.737
257,Bassey,0.737
41,Buendía,0.553
31,Konsa,0.895
116,Dunk,0.816
327,Bijol,0.553
129,Ayari,0.526
97,Jensen,0.684
30,Digne,0.553
127,Gomez,0.684
330,Bogle,0.842
144,Gusto,0.684
497,Dubravka,0.921
442,Pope,0.711
249,Barry,0.553
233,Mykolenko,0.868
269,Sessegnon,0.526
415,Dorgu,0.395
332,Justin,0.553
130,Wieffer,0.605
448,Burn,0.658
552,Brobbey,0.579
404,Reijnders,0.5
431,Amad,0.711
500,Romero,0.579
123,Hinshelwood,0.526
350,A.Becker,0.684
265,Berge,0.895
418,Maguire,0.5
494,Vicario,0.816
447,Botman,0.553
488,Sangaré,0.658
482,Hudson-Odoi,0.553
125,Georginio,0.526
9,Hincapie,0.526
516,Bentancur,0.605
358,Kerkez,0.711
54,Gomes,0.658
115,De Cuyper,0.447
472,Murillo,0.658
549,Talbi,0.421
484,Hutchinson,0.447
457,J.Murphy,0.5
455,Tonali,0.816
373,C.Jones,0.474
256,Tete,0.553
262,Smith Rowe,0.579
545,Sadiki,0.868
513,Xavi,0.5
449,Hall,0.632
238,Grealish,0.474
391,Gvardiol,0.421
124,Groß,0.474
514,Tel,0.342
505,Spence,0.605
211,Yeremy,0.684
73,Adams,0.553
48,Onana,0.553
87,Ajer,0.526
101,Henderson,0.579
465,Osula,0.211
512,Kudus,0.5
222,Strand Larsen,0.684
15,Ødegaard,0.421
536,Reinildo,0.605
98,Janelt,0.395
553,Isidor,0.289
347,Nmecha,0.263
458,Joelinton,0.605
432,Mainoo,0.421
16,Madueke,0.421
459,L.Miley,0.395
203,Canvot,0.368
518,P.M.Sarr,0.342
325,Darlow,0.579
402,Rodrigo,0.447
213,Lerma,0.474
240,Iroegbunam,0.447
331,Gudmundsson,0.816
43,Tielemans,0.553
473,Aina,0.474
214,Kamada,0.579
393,Khusanov,0.395
67,Rayan,0.342
17,Merino,0.263
77,Adli,0.263
345,Tanaka,0.368
267,Lukić,0.526
254,Robinson,0.447
145,Fofana,0.526
543,Diarra,0.395
209,Johnson,0.5
34,Pau,0.474
357,Frimpong,0.316
405,N.Gonzalez,0.447
268,King,0.395
501,Danso,0.447
121,Mitoma,0.5
456,J.Ramsey,0.395
47,Kamara,0.447
522,Gray,0.474
258,Castagne,0.526
392,Aït-Nouri,0.316
74,Brooks,0.342
450,Livramento,0.368
157,Estêvão,0.316
64,Smith,0.368
430,Mount,0.316
18,Martinelli,0.289
131,Baleba,0.605
401,Marmoush,0.211
160,Garnacho,0.368
46,Barkley,0.184
420,Yoro,0.474
339,Longstaff,0.263
344,Gruev,0.395
502,Robertson,0.289
36,Maatsen,0.447
422,Mazraoui,0.289
470,Morato,0.368
241,McNeil,0.368
89,Henry,0.368
446,Schär,0.289
419,Martinez,0.342
33,Mings,0.395
483,Ndoye,0.368
520,Bergvall,0.289
263,Kevin,0.237
487,Dominguez,0.447
454,Elanga,0.368
75,Christie,0.237
162,Andrey Santos,0.342
62,Diakité,0.395
517,Odobert,0.263
167,Delap,0.316
212,Hughes,0.5
10,White,0.237
42,Guessand,0.237
519,Gallagher,0.368
369,Ngumoha,0.132
403,Savinho,0.184
326,Perri,0.421
492,Awoniyi,0.079
416,De Ligt,0.342
264,Bobb,0.289
421,Heaven,0.289
440,Zirkzee,0.132
360,Bradley,0.316
490,Wood,0.289
70,Kluivert,0.263
266,Cairney,0.158
379,Isak,0.211
11,Mosquera,0.237
526,Solanke,0.289
35,Bogarde,0.289
71,Cook,0.211
255,J.Cuenca,0.289
151,Acheampong,0.211
114,Boscagli,0.237
475,Savona,0.289
460,Willock,0.263
433,Ugarte,0.211
90,Hickey,0.211
370,Chiesa,0.026
271,Muniz,0.263
215,Devenny,0.184
26,Havertz,0.184
548,Rigg,0.289
246,Röhl,0.158
138,Kostoulas,0.053
351,Mamardashvili,0.263
147,Tosin,0.211
546,Adingra,0.237
359,Gomez,0.184
341,Gnonto,0.105
230,Branthwaite,0.184
259,Diop,0.211
489,Yates,0.053
243,Alcaraz,0.158
506,Udogie,0.368
7,Lewis-Skelly,0.132
37,Lindelöf,0.289
80,Enes Ünal,0.0
464,Wissa,0.105
539,O'Nien,0.132
485,Bakwa,0.158
158,Gittens,0.132
333,Bornauw,0.132
27,G.Jesus,0.079
56,Abraham,0.053
343,James,0.158
224,Nketiah,0.053
234,Patterson,0.079
44,Bailey,0.079
244,Armstrong,0.158
206,Chadi Riad,0.158
496,Kinsky,0.184
148,Hato,0.316
63,Milosavljević,0.105
395,Lewis,0.105
245,Dibling,0.105
486,McAtee,0.053
348,Piroe,0.053
225,Uche,0.0
137,Tzimas,0.026
531,Ellborg,0.079
242,George,0.026
29,M.Bizot,0.158
126,O'Riley,0.053
20,Dowman,0.026
270,Reed,0.026
547,Mundle,0.053
91,Pinnock,0.105
385,Trafford,0.105
551,Angulo,0.132
161,Lavia,0.105
168,Marc Guiu,0.026
100,Carvalho,0.026
24,Nelson,0.0
474,Jair Cunha,0.158
104,Onyeka,0.0
374,Endo,0.026
342,Harrison,0.026
72,Gannon-Doak,0.0
468,John,0.132
413,Bayindir,0.158
478,Netz,0.079
117,Coppola,0.053
508,Davies,0.053
141,Jörgensen,0.079
493,Kalimuendo,0.0
406,Kovačić,0.026
22,Nwaneri,0.0
149,Colwill,0.053
76,Tóth.A,0.053
146,B.Badiashile,0.158
21,Nørgaard,0.026
199,Benitez,0.026
352,Woodman,0.053
375,Nyoni,0.0
272,Kusi-Asare,0.0
205,Sosa,0.0
118,Igor,0.026
133,Watson,0.0
383,Elliott,0.026
394,Alleyne,0.053
38,A.García,0.026
216,Esse,0.0
132,Howell,0.026
52,Alysson,0.0
128,Buonanotte,0.026
434,J.Fletcher,0.0
435,Lacey,0.0
66,Soler,0.0
515,Maddison,0.0
150,M.Sarr,0.026
511,Souza,0.053
477,Abbott,0.053
438,Fletcher,0.0
451,A.Murphy,0.0
409,Mukasa,0.0
221,Drakes-Thomas,0.0
220,Cardines,0.026
537,Seelt,0.026
103,Dasilva,0.0
51,George Hemmings,0.0
528,Scarlett,0.0
2,Arrizabalaga,0.026
425,Fredricson,0.0
134,Oriola,0.0
437,Bendito Mantato,0.0
169,Mheuka,0.0
163,D.Essugo,0.0
466,Neave,0.0
99,Milambo,0.026
107,Furo,0.0
83,Valdimarsson,0.026
510,Rowswell,0.0
509,Byfield,0.0
524,Olusesi,0.0
550,Jocelin.T,0.026
540,Masuaku,0.053
50,Burrowes,0.0
541,Meunier,0.0
312,Taylor,0.0
311,Burns,0.0
314,Ogbene,0.0
315,Fatawu,0.0
316,Emersonn,0.0
313,Clarke,0.0
290,Slater,0.0
365,Ramsay,0.0
364,Tsimikas,0.0
363,Leoni,0.0
362,Jacquet,0.0
361,Lucky,0.0
355,Davies,0.0
354,Jaros,0.0
298,Destan,0.0
299,Burstow,0.0
293,Kamara,0.0
291,Matazo,0.0
295,McBurnie,0.0
296,Akintola,0.0
297,Gyabi,0.0
292,Ömür,0.0
576,Stroud,0.0
376,Bajcetic,0.0
378,McConnell,0.0
377,Munoz,0.0
381,Koumas,0.0
382,Danns,0.0
579,Araujo,0.0
274,Butland,0.0
275,Cartwright,0.0
276,Lo-Tutala,0.0
556,Targett,0.0
340,Gelhardt,0.0
563,Morita,0.0
572,Tzolakis,0.0
574,Hjertø-Dahl,0.0
317,Hirst,0.0
554,Van Oevelen,0.0
562,Maeda,0.0
571,Florentino,0.0
564,Scherpen,0.0
592,Ouattara,0.0
334,Muharemović,0.0
585,Herrington,0.0
591,Enciso,0.0
589,Gourna-Douath,0.0
300,Walton,0.0
301,Palmer,0.0
302,Button,0.0
303,Kipré,0.0
304,O'Shea,0.0
305,Davis,0.0
586,Mendy,0.0
306,Greaves,0.0
307,Johnson,0.0
309,Núñez,0.0
308,Furlong,0.0
310,Matusiwa,0.0
349,Mateo Joseph,0.0
598,Elvedi,0.0
353,Pecsi,0.0
318,Philogene,0.0
319,Szmodics,0.0
320,Akpom,0.0
321,Walle Egeli,0.0
322,Al-Hamadi,0.0
323,McAteer,0.0
324,Mehmeti,0.0
538,Hjelde,0.0
218,Doucouré,0.0
219,J.Rak-Sakyi,0.0
587,Rulli,0.0
217,M.França,0.0
410,Monga,0.0
235,Aznou,0.0
407,Echeverri,0.0
408,Phillips,0.0
252,McNally,0.0
227,Travers,0.0
251,Lecomte,0.0
228,King,0.0
570,Palacios,0.0
580,Charles,0.0
273,Phillips,0.0
247,Hackney,0.0
286,Belloumi,0.0
285,McNair,0.0
288,Dowell,0.0
287,Millar,0.0
569,Gonzalo,0.0
396,Vitor Reis,0.0
289,Crooks,0.0
386,Bettinelli,0.0
284,McCarthy,0.0
283,Jacob,0.0
277,Egan,0.0
278,Hughes,0.0
279,Ajayi,0.0
280,Coyle,0.0
281,Drameh,0.0
282,Giles,0.0
294,Zambrano,0.0
443,Gillespie,0.0
584,Hamer,0.0
575,Yirenkyi,0.0
172,Wilson,0.0
444,Jaouen,0.0
110,Rushworth,0.0
171,Dovin,0.0
176,Dasilva,0.0
599,Cherif,0.0
207,Mingueza,0.0
595,Gozo,0.0
424,Amass,0.0
414,Heaton,0.0
588,Khalaili,0.0
555,Matthews,0.0
186,Mason-Clark,0.0
187,Eccles,0.0
188,Torp,0.0
189,Shepherd,0.0
190,Tchaouna,0.0
191,Borges Rodrigues,0.0
192,Andrews,0.0
193,Wright,0.0
194,Thomas-Asante,0.0
195,Simms,0.0
196,Markelo,0.0
197,Bassette,0.0
577,Tomiyasu,0.0
429,Rashford,0.0
436,Collyer,0.0
441,Obi,0.0
568,Barco,0.0
561,Anselmino,0.0
560,Penders,0.0
170,Emegha,0.0
166,N.Jackson,0.0
164,Quenda,0.0
567,Horníček,0.0
593,Dedić,0.0
185,Sakamoto,0.0
461,Touré,0.0
559,Bamba,0.0
462,Steur,0.0
184,Grimes,0.0
181,Brau,0.0
182,Amenda,0.0
183,Rudoni,0.0
175,van Ewijk,0.0
174,Kitching,0.0
173,Thomas,0.0
180,Woolfenden,0.0
179,Latibeaudiere,0.0
178,Bidwell,0.0
177,Kesler-Hayden,0.0
476,O.Richards,0.0
119,Costinha,0.0
479,Bindon,0.0
594,David,0.0
153,Disasi,0.0
135,Yohanna,0.0
583,Chavarria,0.0
152,Palestra,0.0
578,Mudryk,0.0
92,Ji-soo,0.0
495,Austin,0.0
590,Benda,0.0
581,Diomande,0.0
111,Steele,0.0
558,Schlager,0.0
565,Sangaré,0.0
108,Wilson,0.0
120,Svoboda,0.0
105,Anthony,0.0
139,Ferguson,0.0
504,Vuskovic,0.0
507,Phillips,0.0
566,Silva,0.0
573,Sanchez,0.0
93,Schuster,0.0
65,J.Araujo,0.0
59,Dennis,0.0
58,Forster,0.0
597,Suzuki,0.0
582,Madjo,0.0
596,Ruggeri,0.0
81,Rodríguez,0.0
49,Iling Jr,0.0
23,Fábio Vieira,0.0
53,Manzambi,0.0
39,Nedeljkovic,0.0
557,Tzolis,0.0
523,Moore,0.0
521,Kulusevski,0.0
530,Patterson,0.0
3,Meslier,0.0
